"date"	"term"	"tweet"	"lat"	"long"	"n_followers"	"date2"	"time"
2014-10-12	"ALCOHOLIC"	"With who?  Ada deh  (at De' Lande Alcoholic Coffee Bar)  https://t.co/ypYi3tEPWV"	-8.70003	115.17756	368	2014-10-12 11:48:41	"11:48"
2014-10-12	"ALCOHOLIC"	"#Airport #cocktail on my own #alcoholic  @ Amsterdam Airport Schiphol http://t.co/f1sfI8TBGA"	52.307753	4.76507	505	2014-10-12 11:59:18	"11:59"
2014-10-12	"ALCOHOLIC"	"#Airport #cocktail on my own #alcoholic  @ Amsterdam Airport Schiphol http://t.co/uKEqpOLPNz"	52.307753	4.76507	505	2014-10-12 11:59:53	"11:59"
2014-10-12	"ALCOHOLIC"	"@SamTrueman93 Sam's an alcoholic without me"	53.410557	-1.334975	302	2014-10-12 12:40:58	"12:40"
2014-10-12	"ALCOHOLIC"	"@txtfromlastnite: (307): im not letting a little injury get in the way of my alcoholic/drug problems. we ARE getting turnt tonight."	39.422691	-92.445709	705	2014-10-12 12:52:48	"12:52"
2014-10-12	"ALCOHOLIC"	"@Zach_5Star @Kenan_PD some alcoholic"	52.487005	-1.893789	14497	2014-10-12 13:07:29	"13:07"
2014-10-12	"ALCOHOLIC"	"Mercedes drinks supplier is Monster if only they were in a country that had an alcoholic drink that goes well with that tonight #askcrofty"	55.898223	-4.327878	127	2014-10-12 13:14:25	"13:14"
2014-10-12	"ALCOHOLIC"	"@MercedesAMGF1 Your drinks supplier is Monster if only they were in a country that had an alcoholic drink that goes well with that tonight"	55.897872	-4.327978	127	2014-10-12 13:17:59	"13:17"
2014-10-12	"ALCOHOLIC"	"Hello, my name is Aiden and I'm an alcoholic."	53.811537	-1.570269	236	2014-10-12 13:22:04	"13:22"
2014-10-12	"ALCOHOLIC"	"Wedding reception includes alcoholic puppies @ St. Agatha http://t.co/jj2z3GSIPL"	43.4348	-80.630195	190	2014-10-12 13:28:12	"13:28"
2014-10-12	"ALCOHOLIC"	"What do you think the press is going to say about Brent Dicesare's alcoholic sister?\" \"You shame him and all he stands for\" \"#PrayforBrent"	41.513198	-81.686104	538	2014-10-12 13:33:09	"13:33"
2014-10-12	"ALCOHOLIC"	"@LeanneThompsonx: @Foggonnn @Jamie0408 ahh life friggen tell is about it! Im going non alcoholic on friday #thingsneedtochange"	53.408597	-3.101119	355	2014-10-12 13:44:45	"13:44"
2014-10-12	"ALCOHOLIC"	"I haven't drunk in like 3 weekends and people claim im an alcoholic. Yeeee yeee lol"	53.754495	-0.252532	367	2014-10-12 13:45:10	"13:45"
2014-10-12	"ALCOHOLIC"	"Playing @ Nancy bordellos from 8.30 this evening, complete with alcoholic beverages galore #ciderandmusicmakemehappy #needmusic #livemusic"	54.993591	-1.609766	217	2014-10-12 13:46:03	"13:46"
2014-10-12	"ALCOHOLIC"	"I think I'm an alcoholic."	45.010454	-122.88668	326	2014-10-12 13:50:25	"13:50"
2014-10-12	"ALCOHOLIC"	"Need fun friends to enjoy lots of alcoholic plans with"	50.84777	-1.200741	674	2014-10-12 13:51:20	"13:51"
2014-10-12	"ALCOHOLIC"	"If I quit smoking trees..  I would be a raging alcoholic."	38.256784	-85.669336	160	2014-10-12 13:53:38	"13:53"
2014-10-12	"ALCOHOLIC"	"@kategh_ when I was asking for it my mom was like you really are an alcoholic it's 8 in the morning"	32.562024	-85.983122	282	2014-10-12 13:56:42	"13:56"
2014-10-12	"ALCOHOLIC"	"@johnnygreaves @MarkTurley72  not too shabby for a functioning alcoholic"	57.140527	-2.099596	720	2014-10-12 14:03:58	"14:03"
2014-10-12	"ALCOHOLIC"	"Hi I'm Keira and I'm an alcoholic"	55.976741	-3.190968	1013	2014-10-12 14:04:11	"14:04"
2014-10-12	"ALCOHOLIC"	"I would definitely pick a cup of tea over any alcoholic drink any day of the week! #howold"	53.910139	-2.153344	102	2014-10-12 14:21:15	"14:21"
2014-10-12	"ALCOHOLIC"	"I don't consume alcoholic drinks nor do i go for parties/clubs and do drugs. I might actually be society's most boring person..."	1.373386	103.961338	24	2014-10-12 14:51:31	"14:51"
2014-10-12	"ALCOHOLIC"	"Me: puta nahihilo na ako*grabs alcoholic drink*"	14.170262	121.243756	284	2014-10-12 15:17:42	"15:17"
2014-10-12	"ALCOHOLIC"	"\"Matt Bellamy really looks like Thom Yorke right now...\"Yorke looks like a homeless alcoholic, so I'd say no to that..."	53.946069	-1.08906	799	2014-10-12 15:30:43	"15:30"
2014-10-12	"ALCOHOLIC"	"hindi na talaga ko alcoholic, yey"	14.305958	121.116185	382	2014-10-12 15:40:42	"15:40"
2014-10-12	"ALCOHOLIC"	"@TiffanyMattea r u an alcoholic"	34.737477	-76.808313	301	2014-10-12 15:41:42	"15:41"
2014-10-12	"ALCOHOLIC"	"Alia looks like alcoholic in Jersey"	22.572857	88.363909	353	2014-10-12 15:44:25	"15:44"
2014-10-12	"ALCOHOLIC"	"My alcoholic bb http://t.co/qWws1OdYQR"	39.978266	-75.159767	322	2014-10-12 15:49:17	"15:49"
2014-10-12	"ALCOHOLIC"	"Feeling so internally ill, think it's time for alcoholic Hayden to hang up his wine bottles for a few days. #DayThirtyOfDrinking"	50.723884	-1.865997	305	2014-10-12 15:52:11	"15:52"
2014-10-12	"ALCOHOLIC"	"@MannyFacenda: Im not an alcoholic I don't even like drinking But my friends always pressure me stfu u wanted to drink &amp; u know it"	26.601572	-81.958732	1325	2014-10-12 15:52:43	"15:52"
2014-10-12	"ALCOHOLIC"	"my parents seriously think I'm an alcoholic"	35.58365	-80.897595	500	2014-10-12 15:54:08	"15:54"
2014-10-12	"ALCOHOLIC"	"@Im_Demze: Sober sucks Lool  psychopathic alcoholic"	43.788388	-79.354932	255	2014-10-12 15:56:21	"15:56"
2014-10-12	"ALCOHOLIC"	"Turning 21 has turned me into an alcoholic"	33.819055	-118.145689	373	2014-10-12 15:58:42	"15:58"
2014-10-12	"ALCOHOLIC"	"@melwood1495 @ChocoHobNob nope because your an alcoholic!"	53.215247	-3.008643	1861	2014-10-12 16:15:00	"16:15"
2014-10-12	"ALCOHOLIC"	"If yous a alcoholic I ain't got No time for yo"	42.935403	-78.811267	417	2014-10-12 16:19:32	"16:19"
2014-10-12	"ALCOHOLIC"	"@MShihtzu @ShennyWalrond @mk_inwa @DailyBailey_Dog @paddyscousedog @dog_phoebe @FluffyPupAlice @StanleyForeman1 @coffeehouse he alcoholic"	37.807763	-121.922919	1143	2014-10-12 16:20:45	"16:20"
2014-10-12	"ALCOHOLIC"	"Oguro \"@DAN_is_a_STAN: Your fav alcoholic drink?  #Bounce_Ronnie\""	9.663966	6.516326	82	2014-10-12 16:22:27	"16:22"
2014-10-12	"ALCOHOLIC"	"they turning me into alcoholic ."	39.319749	-76.569987	2346	2014-10-12 16:30:37	"16:30"
2014-10-12	"ALCOHOLIC"	"my uncle is such a alcoholic. I fkn hate it bc of what its doing to him.."	29.564936	-95.265028	795	2014-10-12 16:32:43	"16:32"
2014-10-12	"ALCOHOLIC"	"@CaleighAndolina @UberFacts @Meggtini @Cmaniaci13 that's a nice way of calling someone an alcoholic"	43.149672	-77.602369	66	2014-10-12 16:36:47	"16:36"
2014-10-12	"ALCOHOLIC"	"How about @KacieStanford screen shot every snap then make me look like an alcoholic on her story -"	34.918808	-95.322454	489	2014-10-12 16:47:43	"16:47"
2014-10-12	"ALCOHOLIC"	"I know when I'm old enough to buy drinks I'm going to become an alcoholic.."	53.169459	-3.152298	350	2014-10-12 17:10:26	"17:10"
2014-10-12	"ALCOHOLIC"	"i like when songs from freshman and sophomore year come on so i can be like aw remember when i was a borderline alcoholic?  good times!"	39.442674	-83.813775	727	2014-10-12 17:16:58	"17:16"
2014-10-12	"ALCOHOLIC"	"@shaunbowman_ confessions of a true alcoholic"	49.268737	-122.734533	407	2014-10-12 17:18:32	"17:18"
2014-10-12	"ALCOHOLIC"	"@tommymorg1986 I did that but it's shit, you ask for Stella and they haven't got any so send you non alcoholic becks"	51.883698	0.026958	356	2014-10-12 17:23:08	"17:23"
2014-10-12	"ALCOHOLIC"	"A week without any alcoholic bev in my body. Hahaha"	14.695556	121.122186	112	2014-10-12 17:25:40	"17:25"
2014-10-12	"ALCOHOLIC"	"Mes chatons #mtp #tropdelove #alcoholic #party @ la coloc du bonheur http://t.co/O0qkLn2V8n"	43.60339	3.877227	21	2014-10-12 17:35:17	"17:35"
2014-10-12	"ALCOHOLIC"	"You know your mom thinks you're an alcoholic when your mom sends you this picture and says \"I thought of you lol\" http://t.co/KAFcZaJsoQ"	38.579115	-90.287813	365	2014-10-12 17:35:42	"17:35"
2014-10-12	"ALCOHOLIC"	"Would it make me sound like an alcoholic if I said I need a few shots right now?"	41.502236	-90.550588	1494	2014-10-12 17:44:02	"17:44"
2014-10-12	"ALCOHOLIC"	"I have to say, out of all alcoholic drinks, red wine is my favorite. which is why I plan on drinking a bottle or two  love holidays"	46.159735	-60.180841	166	2014-10-12 17:45:21	"17:45"
2014-10-12	"ALCOHOLIC"	"I may have been the first person to order an alcoholic beverage on our boat trip"	39.012741	-120.082535	350	2014-10-12 17:50:05	"17:50"
2014-10-12	"ALCOHOLIC"	":\"\"D \"@Fanoza2: Think I'll start robbing people \"@Mahuntsu: If i had to divorce, i'll probably become an alcoholic...\"\""	-33.92078	18.42686	2030	2014-10-12 17:52:03	"17:52"
2014-10-12	"ALCOHOLIC"	"I just ordered my first alcoholic beverage and didn't get carded.."	39.504861	-79.324985	780	2014-10-12 17:59:06	"17:59"
2014-10-12	"ALCOHOLIC"	"This steelers game is making me feel like being an alcoholic is a great idea #nope"	40.450758	-80.183463	195	2014-10-12 18:06:53	"18:06"
2014-10-12	"ALCOHOLIC"	"@jsnrst but how am I meant to present myself as a classic and dedicated alcoholic if I stoop to such unconventional methods?"	52.94742	-1.146798	545	2014-10-12 18:09:34	"18:09"
2014-10-12	"ALCOHOLIC"	"I swear this sunlight is God's way of telling me I'm an alcoholic"	43.235867	-77.064411	978	2014-10-12 18:09:36	"18:09"
2014-10-12	"ALCOHOLIC"	"My mom actually thinks I'm an alcoholic and its ridiculous"	42.748373	-87.798866	940	2014-10-12 18:10:27	"18:10"
2014-10-12	"ALCOHOLIC"	"The darker the color of your alcoholic drink, the more likely it is to give you a hangover. - http://t.co/rdPNwyZax9"	14.622743	121.189785	107	2014-10-12 18:18:25	"18:18"
2014-10-12	"ALCOHOLIC"	"The other morning I couldn't be bothered getting water to take my pill so I just used the sourz in my room lol #alcoholic"	53.28635	-2.711472	827	2014-10-12 18:29:28	"18:29"
2014-10-12	"ALCOHOLIC"	"If you put in social media that you're an \"alcoholic\"... you're not an alcoholic."	40.089479	-75.025384	337	2014-10-12 18:34:34	"18:34"
2014-10-12	"ALCOHOLIC"	"@ArredondoJaneth hahaha I was pretending to be you, you alcoholic"	33.819264	-116.543718	213	2014-10-12 18:35:24	"18:35"
2014-10-12	"ALCOHOLIC"	"Bucs fans prob have the highest alcoholic rate in the league. #torture http://t.co/j93OTpI9tf"	27.975923	-82.502941	701	2014-10-12 18:39:38	"18:39"
2014-10-12	"ALCOHOLIC"	"Finished my second alcoholic beverage, Raspberry Mimosa. Time for coffee so I can drive soon in the near future ha!"	39.042501	-94.594431	158	2014-10-12 18:49:42	"18:49"
2014-10-12	"ALCOHOLIC"	"@kathrynchapman_ did you not know I'm a recovering alcoholic?"	53.772758	-2.688444	218	2014-10-12 18:55:58	"18:55"
2014-10-12	"ALCOHOLIC"	"@TheAmish_808 wait...do they serve alcoholic beverages because I might want to get a little intoxicated. Not a lot, just some-light"	34.017128	-84.670016	491	2014-10-12 18:56:22	"18:56"
2014-10-12	"ALCOHOLIC"	"@collegefession: \"Am I an alcoholic if I drink alone? #replytweet\" - SUNY Maritime yes. *me rn*"	26.011155	-80.153155	391	2014-10-12 19:01:41	"19:01"
2014-10-12	"ALCOHOLIC"	"@collegefession: \"Am I an alcoholic if I drink alone? #replytweet\" - SUNY Maritime @TooBadForCoul"	39.553946	-75.014358	604	2014-10-12 19:11:11	"19:11"
2014-10-12	"ALCOHOLIC"	"New Amsterdam Red Berry with Mountain Dew = new favorite alcoholic drink."	38.853282	-97.606533	624	2014-10-12 19:11:50	"19:11"
2014-10-12	"ALCOHOLIC"	"By a bottle of non alcoholic wine yesterday has got to be the worst thing a student can ever do!"	51.539813	0.708951	235	2014-10-12 19:12:31	"19:12"
2014-10-12	"ALCOHOLIC"	"@__alllexis lol idk wanna sip some alcoholic beverages?"	39.971697	-75.13307	398	2014-10-12 19:15:43	"19:15"
2014-10-12	"ALCOHOLIC"	"@DumbDumberMovie why would she have you meet her at a bar at 10 in the morning?I just figured she's a raging alcoholic!"	47.246301	-119.4162	25	2014-10-12 19:17:37	"19:17"
2014-10-12	"ALCOHOLIC"	"@collegefession: \"Am I an alcoholic if I drink alone? #replytweet\" - SUNY Maritime @cooksterpot ??"	26.940549	-80.09208	241	2014-10-12 19:21:38	"19:21"
2014-10-12	"ALCOHOLIC"	"I'm half Geordie, half Essex, no wonder I'm on my way to being an alcoholic"	53.746217	-1.276708	757	2014-10-12 19:25:52	"19:25"
2014-10-12	"ALCOHOLIC"	"@EofELuke dude what's your favourite alcoholic drink? It's important"	51.483875	-0.94712	10231	2014-10-12 19:26:57	"19:26"
2014-10-12	"ALCOHOLIC"	"Bought Steve a pound of skittles and the biggest whiskey bottle I could find. I'm going to give him diabetes or turn him into an alcoholic"	34.019707	-117.685697	122	2014-10-12 19:30:44	"19:30"
2014-10-12	"ALCOHOLIC"	"I'm a young alcoholic"	31.9681	-102.048039	473	2014-10-12 19:31:40	"19:31"
2014-10-12	"ALCOHOLIC"	"Then again , freedom will be no longer , oh well , was fun been a semi alcoholic for a week"	54.893398	-2.965442	60	2014-10-12 19:34:28	"19:34"
2014-10-12	"ALCOHOLIC"	"MIAvsGB this game got me feeling like a alcoholic"	33.763052	-117.878762	133	2014-10-12 19:36:29	"19:36"
2014-10-12	"ALCOHOLIC"	"@ChrisBurke_SI @askmetostay323 I Bet he's an alcoholic. I have no proof but it's the only logical explanation"	40.686227	-73.908412	494	2014-10-12 19:57:43	"19:57"
2014-10-12	"ALCOHOLIC"	"Oh but you can spend all your money you owe me at the bar. Fuck alcoholic losers"	38.017984	-122.256121	340	2014-10-12 20:03:24	"20:03"
2014-10-12	"ALCOHOLIC"	"*drinks liquor once and suddenly an alcoholic*Do something with your life, fucking child."	29.530438	-95.193058	196	2014-10-12 20:03:29	"20:03"
2014-10-12	"ALCOHOLIC"	"@thatdesigirl my grandpa had lung cancer which was cause of smoking and also he was an alcoholic which messed up his intestines it sucks"	30.448482	-84.307354	1444	2014-10-12 20:07:54	"20:07"
2014-10-12	"ALCOHOLIC"	"Irfan will b like ....Han main alcoholic hoon ....Han han main alcoholic hoon ....Elllcaahaalicc.....Lmao"	33.633633	73.046303	48	2014-10-12 20:10:00	"20:10"
2014-10-12	"ALCOHOLIC"	"Had such a good weekend hiding away with my fave Romanian and alcoholic! Love ya rux  #egham #home http://t.co/AruVr82JVJ"	51.42573	-0.553789	444	2014-10-12 20:17:02	"20:17"
2014-10-12	"ALCOHOLIC"	"@MiamiDolphins you guys are single handedly turning me Into an alcoholic"	42.322109	-79.558413	281	2014-10-12 20:22:24	"20:22"
2014-10-12	"ALCOHOLIC"	"Think I'm an alcoholic"	51.347888	-2.951155	385	2014-10-12 20:24:24	"20:24"
2014-10-12	"ALCOHOLIC"	"An alcoholic in his cups is an unlovely creature."	40.704494	-75.207963	68	2014-10-12 20:41:11	"20:41"
2014-10-12	"ALCOHOLIC"	"Shout out to my sperm downer, I'm a fucking alcoholic now."	47.59912	-122.331344	224	2014-10-12 20:44:46	"20:44"
2014-10-12	"ALCOHOLIC"	"\"Drinking rum before 10am makes you a pirate... Not an alcoholic\" - uncle larry"	42.985443	-81.242889	211	2014-10-12 20:49:56	"20:49"
2014-10-12	"ALCOHOLIC"	"he prob thinks I'm an alcoholic or something hahahaha they're just sitting in my room  http://t.co/wSMjstvRD0"	29.642181	-95.662499	264	2014-10-12 20:50:12	"20:50"
2014-10-12	"ALCOHOLIC"	"My life goal is to make the best tasting alcoholic beverage and I'm going to name it the Barry Wright"	46.819113	-92.086697	512	2014-10-12 20:57:16	"20:57"
2014-10-12	"ALCOHOLIC"	"@easyJet pls include alcoholic drinks in ur free 3 refreshment card. With 3hours flight delay I need a margarita in hand."	55.948132	-3.365139	54	2014-10-12 20:57:52	"20:57"
2014-10-12	"ALCOHOLIC"	"Pagan drinks 1 night &amp; now he's a \"alcoholic\"..... Smh primo burnt"	25.971068	-80.333637	994	2014-10-12 21:01:54	"21:01"
2014-10-12	"ALCOHOLIC"	"@isaac_oard you're to young for alcoholic beverages..."	40.712065	-90.883599	1146	2014-10-12 21:02:41	"21:02"
2014-10-12	"ALCOHOLIC"	"@rworeilly78 Pot, but also he's a RAGING alcoholic."	30.479543	-81.602095	439	2014-10-12 21:03:50	"21:03"
2014-10-12	"ALCOHOLIC"	"@awbateson alcoholic or normal?!?!"	54.078683	-2.751622	247	2014-10-12 21:05:08	"21:05"
2014-10-12	"ALCOHOLIC"	"@bugattibeez: I'm not an alcoholic or anything, I just love being drunk. that make sense? yea, there's a big difference"	32.594001	-96.846745	446	2014-10-12 21:06:42	"21:06"
2014-10-12	"ALCOHOLIC"	"@beczbarrett aye right you raging alcoholic"	55.202077	-7.831322	585	2014-10-12 21:24:09	"21:24"
2014-10-12	"ALCOHOLIC"	"I really love when my functioning alcoholic roommate spills her beverage on my $500 sheets. Why are you in my room to begin with..."	39.655656	-104.978798	223	2014-10-12 21:41:52	"21:41"
2014-10-12	"ALCOHOLIC"	"Non Alcoholic Cocktails add Vodka for a Kick #glitter #bling great gift #mocktail http://t.co/0FvLvpldkO"	54.010174	-0.431736	47	2014-10-12 21:44:08	"21:44"
2014-10-12	"ALCOHOLIC"	"My dad alcoholic ass friend always talkin shit lmfaoo"	43.160006	-77.547569	1175	2014-10-12 21:47:01	"21:47"
2014-10-12	"ALCOHOLIC"	"I love the fact I can be an alcoholic legally now"	43.169609	-80.292607	100	2014-10-12 21:49:56	"21:49"
2014-10-12	"ALCOHOLIC"	"@DeRon_Colbert20: My bottle was found today under the restroom sink..  #UTSAHC2k14  alcoholic"	29.585997	-98.622054	1102	2014-10-12 21:50:36	"21:50"
2014-10-12	"ALCOHOLIC"	"Argg thank god I'm not an alcoholic,,,I think I'll have 2 glasses of vodka &amp; scotch before I sleep though"	-25.73478	28.14269	308	2014-10-12 21:56:48	"21:56"
2014-10-12	"ALCOHOLIC"	"I'm growing weary and bored. There's no sport, I need an intellectual equal, not a sniveling, pathetic, alcoholic who's stuck in the past."	33.782388	-84.282567	55	2014-10-12 21:57:04	"21:57"
2014-10-12	"ALCOHOLIC"	"I'ma Alcoholic Man , I Need Help !"	36.57738	-79.39531	1497	2014-10-12 22:05:59	"22:05"
2014-10-12	"ALCOHOLIC"	"Party host vegan and a recovering alcoholic #HalloweenPartyBuzzKills"	36.161631	-115.057339	1005	2014-10-12 22:13:02	"22:13"
2014-10-12	"ALCOHOLIC"	"@_kennilingus @dudeitskirsten_ I may or may not have been under the influence of A LOT of alcoholic beverages"	32.761499	-117.061113	169	2014-10-12 22:20:34	"22:20"
2014-10-12	"ALCOHOLIC"	"@HeidiOUTLAWZ @DannyJamesHoy and hahhaha whats that got to do with me not drinkin u must be an alcoholic with some shit blocked arteries lol"	53.563086	-2.120411	117	2014-10-12 22:39:03	"22:39"
2014-10-12	"ALCOHOLIC"	"Does this look like water or an Alcoholic beverage ?  http://t.co/QlNVh1xTPx"	38.587543	-77.312909	526	2014-10-12 22:45:04	"22:45"
2014-10-12	"ALCOHOLIC"	"Got me an alcoholic beverage waiting in the theater to watch the @onedirection movie!!! So excited http://t.co/TEquVxVDPJ"	28.369816	-81.519394	41	2014-10-12 22:54:13	"22:54"
2014-10-12	"ALCOHOLIC"	"Not a particular drink or alcoholic beverages generally -- pumpkins spice products"	39.447394	-75.055296	323	2014-10-12 22:56:00	"22:56"
2014-10-12	"ALCOHOLIC"	"IM DYING  he would be an alcoholic beverage  @tyleroakley http://t.co/7RqAGqwc4T"	37.954792	-122.109531	531	2014-10-12 22:59:33	"22:59"
2014-10-12	"ALCOHOLIC"	"The Vikings are the reason why I'm a borderline alcoholic.."	46.815964	-96.865739	451	2014-10-12 23:13:20	"23:13"
2014-10-12	"ALCOHOLIC"	"Money cant buy happiness but it can buy an alcoholic beverage, and honestly whats the difference"	39.915632	-104.998407	356	2014-10-12 23:15:27	"23:15"
2014-10-12	"ALCOHOLIC"	"Starbucks has some sort of non alcoholic beer latte and it's not half bad."	39.992699	-83.042955	205	2014-10-12 23:20:00	"23:20"
2014-10-12	"ALCOHOLIC"	"@Phil_Cosby_: Im tired of being labeled. I'm not an alcoholic, I'm always thirsty. http://t.co/SR3ZK20eAm@AshleyE__"	42.373626	-83.193688	526	2014-10-12 23:21:35	"23:21"
2014-10-12	"ALCOHOLIC"	"Daddy just called me his alcoholic... So happy"	43.79125	-79.522922	90	2014-10-12 23:42:25	"23:42"
2014-10-12	"ALCOHOLIC"	"\"you're an alcoholic\" me: http://t.co/AQPoQKrsDG"	29.434315	-95.143744	154	2014-10-12 23:47:44	"23:47"
2014-10-12	"ALCOHOLIC"	"@MediocreMorgue I wanna have alcoholic coffee w you again"	29.273256	-81.126804	257	2014-10-12 23:58:29	"23:58"
2014-10-13	"ALCOHOLIC"	"@rose_aram @MalcolmGNAR the alcoholic would know"	34.249833	-118.284801	266	2014-10-13 00:05:10	"00:05"
2014-10-13	"ALCOHOLIC"	"AU : John Key: the poor boy who saved New Zealand's economy - The New Zealand premier was the son of an alcoholic http://t.co/GkLY7lIOW8"	-33.813452	151.21416	2718	2014-10-13 00:09:29	"00:09"
2014-10-13	"ALCOHOLIC"	"why isnt there alcoholic ice cream idgi"	36.943268	-121.796559	193	2014-10-13 00:09:33	"00:09"
2014-10-13	"ALCOHOLIC"	"Yes I brought alcohol to drink on the way to the liquor store #alcoholic"	39.328258	-76.616086	241	2014-10-13 00:17:38	"00:17"
2014-10-13	"ALCOHOLIC"	"I'm an Alcoholic  At least I admit it, mother fucker"	34.050622	-83.960348	419	2014-10-13 00:28:01	"00:28"
2014-10-13	"ALCOHOLIC"	"@Quadre_Ayers shut your alcoholic ass up"	35.560791	-77.349174	946	2014-10-13 00:38:14	"00:38"
2014-10-13	"ALCOHOLIC"	"@enoch_p: just realized that I'm lowkey starting to become an alcoholic hahaRTRT"	41.317401	-96.037524	1242	2014-10-13 00:40:02	"00:40"
2014-10-13	"ALCOHOLIC"	"@ThePmister supply me w alcoholic beverages"	39.418975	-74.623576	658	2014-10-13 00:51:51	"00:51"
2014-10-13	"ALCOHOLIC"	"battling an internal alcoholic problem that shall end in 2015 but until then"	40.730155	-73.194628	720	2014-10-13 00:52:24	"00:52"
2014-10-13	"ALCOHOLIC"	"Life down under is constant Corona / Wine weather. Either that or I've become an alcoholic."	-28.007963	153.430756	282	2014-10-13 00:55:31	"00:55"
2014-10-13	"ALCOHOLIC"	"Can't stand an alcoholic."	36.360948	-82.265422	86	2014-10-13 01:05:44	"01:05"
2014-10-13	"ALCOHOLIC"	"Don't kill him, I like him! He's an alcoholic like me!"	35.657666	-97.45859	691	2014-10-13 01:08:06	"01:08"
2014-10-13	"ALCOHOLIC"	"@mygrlLinencurls @lydaly @LewisStark74 @Stanatic1986 @TJ_Kiwi @stimpy8er @TtlyPalmerised Eis Cendol ...a very nice drink non alcoholic BTW"	1.29329	103.85978	329	2014-10-13 01:11:02	"01:11"
2014-10-13	"ALCOHOLIC"	"@mbiggsss I'm not an alcoholic like some people http://t.co/BskaF72fJQ"	36.882859	-76.306642	637	2014-10-13 01:18:09	"01:18"
2014-10-13	"ALCOHOLIC"	"Ive been feeling like an alcoholic this weekend. Been drinking since Thursday. Next week im staying on the sober side lol"	33.772211	-118.274381	124	2014-10-13 01:21:14	"01:21"
2014-10-13	"ALCOHOLIC"	"Alcoholic Chip! Good times! #halloween #Belle #BatB #beautyandthebeast #costume @ Depot Restaurant http://t.co/uM1Fh2szSh"	33.83605	-118.314654	7998	2014-10-13 01:23:53	"01:23"
2014-10-13	"ALCOHOLIC"	"@NickScoll you fuckin alcoholic you smelly ass fuckin alcoholic you old smelly ass fuckin alcoholic"	33.938237	-116.956898	393	2014-10-13 01:25:12	"01:25"
2014-10-13	"ALCOHOLIC"	"@Quan_OVO lmao alcoholic"	40.053794	-75.373503	209	2014-10-13 01:30:05	"01:30"
2014-10-13	"ALCOHOLIC"	"@T_Fife333 I just call him the alcoholic"	41.159525	-81.422472	729	2014-10-13 01:31:02	"01:31"
